Property,Score
Data Validity,100.0
Data Structure,100.0
Relationship Validity,99.74390755153748
Average Total,99.91463585051248
Column Shapes,91.68836860631335
Column Pair Trends,93.57219368529984
Cardinality,96.39490996275848
Intertable Trends,65.2075047057113
Average Total,86.71574424002074
