Property,Score
Data Validity,100.0
Data Structure,100.0
Relationship Validity,99.17073613150014
Average Total,99.72357871050004
Column Shapes,97.84747026424381
Column Pair Trends,95.54475195254703
Cardinality,97.10559382587097
Intertable Trends,96.15737990749045
Average Total,96.66379898753807
