Property,Score
Data Validity,100.0
Data Structure,100.0
Relationship Validity,94.92597148193703
Average Total,98.30865716064568
Column Shapes,93.80007612334268
Column Pair Trends,59.931966933861915
Cardinality,96.32711490417054
Intertable Trends,78.2238078768329
Average Total,82.07074145955201
